z,NO,SO2,NO2,NH3,HNO3,OH,HF
0.0,3.00e-04,3.00e-04,2.30e-05,5.00e-04,5.00e-05,4.40e-08,1.00e-08
1.0,3.00e-04,2.74e-04,2.30e-05,5.00e-04,5.96e-05,4.40e-08,1.00e-08
2.0,3.00e-04,2.36e-04,2.30e-05,4.63e-04,6.93e-05,4.40e-08,1.23e-08
3.0,3.00e-04,1.90e-04,2.30e-05,3.80e-04,7.91e-05,4.40e-08,1.97e-08
4.0,3.00e-04,1.46e-04,2.30e-05,2.88e-04,8.87e-05,4.40e-08,3.18e-08
5.0,3.00e-04,1.18e-04,2.30e-05,2.04e-04,9.75e-05,4.40e-08,5.63e-08
6.0,3.00e-04,9.71e-05,2.30e-05,1.46e-04,1.11e-04,4.40e-08,9.18e-08
7.0,3.00e-04,8.30e-05,2.30e-05,9.88e-05,1.26e-04,4.41e-08,1.53e-07
8.0,3.00e-04,7.21e-05,2.30e-05,6.48e-05,1.39e-04,4.45e-08,2.41e-07
9.0,3.00e-04,6.56e-05,2.32e-05,3.77e-05,1.53e-04,4.56e-08,4.04e-07
10.0,3.00e-04,6.08e-05,2.38e-05,2.03e-05,1.74e-04,4.68e-08,6.57e-07
11.0,3.00e-04,5.79e-05,2.62e-05,1.09e-05,2.02e-04,4.80e-08,1.20e-06
12.0,3.00e-04,5.60e-05,3.15e-05,6.30e-06,2.41e-04,4.94e-08,1.96e-06
13.0,2.99e-04,5.59e-05,4.45e-05,3.12e-06,2.76e-04,5.19e-08,3.12e-06
14.0,2.95e-04,5.64e-05,7.48e-05,1.11e-06,3.33e-04,5.65e-08,4.62e-06
15.0,2.83e-04,5.75e-05,1.71e-04,4.47e-07,4.52e-04,6.75e-08,7.09e-06
16.0,2.68e-04,5.75e-05,3.19e-04,2.11e-07,7.37e-04,8.25e-08,1.05e-05
17.0,2.52e-04,5.37e-05,5.19e-04,1.10e-07,1.31e-03,1.04e-07,1.69e-05
18.0,2.40e-04,4.78e-05,7.71e-04,6.70e-08,2.11e-03,1.30e-07,2.57e-05
19.0,2.44e-04,3.97e-05,1.06e-03,3.97e-08,3.17e-03,1.64e-07,4.02e-05
20.0,2.55e-04,3.19e-05,1.39e-03,2.41e-08,4.20e-03,2.16e-07,5.77e-05
21.0,2.77e-04,2.67e-05,1.76e-03,1.92e-08,4.94e-03,3.40e-07,7.77e-05
22.0,3.07e-04,2.28e-05,2.16e-03,1.72e-08,5.46e-03,5.09e-07,9.90e-05
23.0,3.60e-04,2.07e-05,2.58e-03,1.59e-08,5.74e-03,7.59e-07,1.23e-04
24.0,4.51e-04,1.90e-05,3.06e-03,1.44e-08,5.84e-03,1.16e-06,1.50e-04
25.0,6.85e-04,1.75e-05,3.74e-03,1.23e-08,5.61e-03,2.18e-06,1.82e-04
27.5,1.28e-03,1.54e-05,4.81e-03,9.37e-09,4.82e-03,5.00e-06,2.30e-04
30.0,2.45e-03,1.34e-05,6.16e-03,6.35e-09,3.74e-03,1.17e-05,2.83e-04
32.5,4.53e-03,1.21e-05,7.21e-03,3.68e-09,2.59e-03,3.40e-05,3.20e-04
35.0,7.14e-03,1.16e-05,7.28e-03,1.82e-09,1.64e-03,8.35e-05,3.48e-04
37.5,9.34e-03,1.21e-05,6.26e-03,9.26e-10,9.68e-04,1.70e-04,3.72e-04
40.0,1.12e-02,1.36e-05,4.03e-03,2.94e-10,5.33e-04,2.85e-04,3.95e-04
42.5,1.19e-02,1.65e-05,2.17e-03,8.72e-11,2.52e-04,4.06e-04,4.10e-04
45.0,1.17e-02,2.10e-05,1.15e-03,2.98e-11,1.21e-04,5.11e-04,4.21e-04
47.5,1.10e-02,2.77e-05,6.66e-04,1.30e-11,7.70e-05,5.79e-04,4.24e-04
50.0,1.03e-02,3.56e-05,4.43e-04,7.13e-12,5.55e-05,6.75e-04,4.25e-04
55.0,1.01e-02,4.59e-05,3.39e-04,4.80e-12,4.45e-05,9.53e-04,4.25e-04
60.0,1.01e-02,5.15e-05,2.85e-04,3.66e-12,3.84e-05,1.76e-03,4.25e-04
65.0,1.03e-02,5.11e-05,2.53e-04,3.00e-12,3.49e-05,3.74e-03,4.25e-04
70.0,1.15e-02,4.32e-05,2.31e-04,2.57e-12,3.27e-05,7.19e-03,4.25e-04
75.0,1.61e-02,2.83e-05,2.15e-04,2.27e-12,3.12e-05,1.12e-02,4.25e-04
80.0,2.68e-02,1.33e-05,2.02e-04,2.04e-12,3.01e-05,1.13e-02,4.25e-04
85.0,7.01e-02,5.56e-06,1.92e-04,1.85e-12,2.92e-05,6.10e-03,4.25e-04
90.0,2.13e-01,2.24e-06,1.83e-04,1.71e-12,2.84e-05,1.51e-03,4.25e-04
95.0,7.12e-01,8.96e-07,1.76e-04,1.59e-12,2.78e-05,2.42e-04,4.25e-04
100.0,2.08e+00,3.58e-07,1.70e-04,1.48e-12,2.73e-05,4.47e-05,4.25e-04
105.0,4.50e+00,1.43e-07,1.64e-04,1.40e-12,2.68e-05,1.77e-05,4.25e-04
110.0,7.98e+00,5.73e-08,1.59e-04,1.32e-12,2.64e-05,1.19e-05,4.25e-04
115.0,1.00e+01,2.29e-08,1.55e-04,1.25e-12,2.60e-05,1.35e-05,4.25e-04
120.0,1.00e+01,9.17e-09,1.51e-04,1.19e-12,2.57e-05,2.20e-05,4.25e-04
