z,HCl,HBr,HI,ClO,OCS,H2CO,HOCl
0.0,1.00e-03,1.70e-06,3.00e-06,1.00e-08,6.00e-04,2.40e-03,7.70e-06
1.0,7.49e-04,1.70e-06,3.00e-06,1.00e-08,5.90e-04,1.07e-03,1.06e-05
2.0,5.61e-04,1.70e-06,3.00e-06,1.00e-08,5.80e-04,4.04e-04,1.22e-05
3.0,4.22e-04,1.70e-06,3.00e-06,1.00e-08,5.70e-04,2.27e-04,1.14e-05
4.0,3.19e-04,1.70e-06,3.00e-06,1.00e-08,5.62e-04,1.40e-04,9.80e-06
5.0,2.39e-04,1.70e-06,3.00e-06,1.00e-08,5.55e-04,1.00e-04,8.01e-06
6.0,1.79e-04,1.70e-06,3.00e-06,1.00e-08,5.48e-04,7.44e-05,6.42e-06
7.0,1.32e-04,1.70e-06,3.00e-06,1.00e-08,5.40e-04,6.04e-05,5.42e-06
8.0,9.96e-05,1.70e-06,3.00e-06,1.01e-08,5.32e-04,5.01e-05,4.70e-06
9.0,7.48e-05,1.70e-06,3.00e-06,1.05e-08,5.25e-04,4.22e-05,4.41e-06
10.0,5.68e-05,1.70e-06,3.00e-06,1.21e-08,5.18e-04,3.63e-05,4.34e-06
11.0,4.59e-05,1.70e-06,3.00e-06,1.87e-08,5.09e-04,3.43e-05,4.65e-06
12.0,4.36e-05,1.70e-06,3.00e-06,3.18e-08,4.98e-04,3.39e-05,5.01e-06
13.0,6.51e-05,1.70e-06,3.00e-06,5.61e-08,4.82e-04,3.50e-05,5.22e-06
14.0,1.01e-04,1.70e-06,3.00e-06,9.99e-08,4.60e-04,3.62e-05,5.60e-06
15.0,1.63e-04,1.70e-06,3.00e-06,1.78e-07,4.26e-04,3.62e-05,6.86e-06
16.0,2.37e-04,1.70e-06,3.00e-06,3.16e-07,3.88e-04,3.58e-05,8.77e-06
17.0,3.13e-04,1.70e-06,3.00e-06,5.65e-07,3.48e-04,3.50e-05,1.20e-05
18.0,3.85e-04,1.70e-06,3.00e-06,1.04e-06,3.09e-04,3.42e-05,1.63e-05
19.0,4.42e-04,1.70e-06,3.00e-06,2.04e-06,2.74e-04,3.39e-05,2.26e-05
20.0,4.89e-04,1.70e-06,3.00e-06,4.64e-06,2.41e-04,3.43e-05,3.07e-05
21.0,5.22e-04,1.70e-06,3.00e-06,8.15e-06,2.14e-04,3.68e-05,4.29e-05
22.0,5.49e-04,1.70e-06,3.00e-06,1.07e-05,1.88e-04,4.03e-05,5.76e-05
23.0,5.75e-04,1.70e-06,3.00e-06,1.52e-05,1.64e-04,4.50e-05,7.65e-05
24.0,6.04e-04,1.70e-06,3.00e-06,2.24e-05,1.37e-04,5.06e-05,9.92e-05
25.0,6.51e-04,1.71e-06,3.00e-06,3.97e-05,1.08e-04,5.82e-05,1.31e-04
27.5,7.51e-04,1.76e-06,3.00e-06,8.48e-05,6.70e-05,7.21e-05,1.84e-04
30.0,9.88e-04,1.90e-06,3.00e-06,1.85e-04,2.96e-05,8.73e-05,2.45e-04
32.5,1.28e-03,2.26e-06,3.00e-06,3.57e-04,1.21e-05,1.01e-04,2.96e-04
35.0,1.57e-03,2.82e-06,3.00e-06,5.08e-04,4.31e-06,1.11e-04,3.21e-04
37.5,1.69e-03,3.69e-06,3.00e-06,6.07e-04,1.60e-06,1.13e-04,3.04e-04
40.0,1.74e-03,4.91e-06,3.00e-06,5.95e-04,6.71e-07,1.03e-04,2.48e-04
42.5,1.76e-03,6.13e-06,3.00e-06,4.33e-04,4.35e-07,7.95e-05,1.64e-04
45.0,1.79e-03,6.85e-06,3.00e-06,2.51e-04,3.34e-07,4.82e-05,9.74e-05
47.5,1.80e-03,7.08e-06,3.00e-06,1.56e-04,2.80e-07,1.63e-05,4.92e-05
50.0,1.80e-03,7.14e-06,3.00e-06,1.04e-04,2.47e-07,5.10e-06,2.53e-05
55.0,1.80e-03,7.15e-06,3.00e-06,7.69e-05,2.28e-07,2.00e-06,1.50e-05
60.0,1.80e-03,7.15e-06,3.00e-06,6.30e-05,2.16e-07,1.05e-06,1.05e-05
65.0,1.80e-03,7.15e-06,3.00e-06,5.52e-05,2.08e-07,6.86e-07,8.34e-06
70.0,1.80e-03,7.15e-06,3.00e-06,5.04e-05,2.03e-07,5.14e-07,7.11e-06
75.0,1.80e-03,7.15e-06,3.00e-06,4.72e-05,1.98e-07,4.16e-07,6.33e-06
80.0,1.80e-03,7.15e-06,3.00e-06,4.49e-05,1.95e-07,3.53e-07,5.78e-06
85.0,1.80e-03,7.15e-06,3.00e-06,4.30e-05,1.92e-07,3.09e-07,5.37e-06
90.0,1.80e-03,7.15e-06,3.00e-06,4.16e-05,1.89e-07,2.76e-07,5.05e-06
95.0,1.80e-03,7.15e-06,3.00e-06,4.03e-05,1.87e-07,2.50e-07,4.78e-06
100.0,1.80e-03,7.15e-06,3.00e-06,3.93e-05,1.85e-07,2.30e-07,4.56e-06
105.0,1.80e-03,7.15e-06,3.00e-06,3.83e-05,1.83e-07,2.13e-07,4.37e-06
110.0,1.80e-03,7.15e-06,3.00e-06,3.75e-05,1.81e-07,1.98e-07,4.21e-06
115.0,1.80e-03,7.15e-06,3.00e-06,3.68e-05,1.80e-07,1.86e-07,4.06e-06
120.0,1.80e-03,7.15e-06,3.00e-06,3.61e-05,1.78e-07,1.75e-07,3.93e-06
