z,N2,HCN,CH3Cl,H2O2,C2H2,C2H6,PH3
0.0,7.81e+05,1.70e-04,7.00e-04,2.00e-04,3.00e-04,2.00e-03,1.00e-14
1.0,7.81e+05,1.65e-04,6.70e-04,1.95e-04,1.72e-04,2.00e-03,1.00e-14
2.0,7.81e+05,1.63e-04,6.43e-04,1.92e-04,9.57e-05,2.00e-03,1.00e-14
3.0,7.81e+05,1.61e-04,6.22e-04,1.89e-04,6.74e-05,2.00e-03,1.00e-14
4.0,7.81e+05,1.60e-04,6.07e-04,1.84e-04,5.07e-05,1.98e-03,1.00e-14
5.0,7.81e+05,1.60e-04,6.02e-04,1.77e-04,3.99e-05,1.95e-03,1.00e-14
6.0,7.81e+05,1.60e-04,6.00e-04,1.66e-04,3.19e-05,1.90e-03,1.00e-14
7.0,7.81e+05,1.60e-04,6.00e-04,1.49e-04,2.80e-05,1.85e-03,1.00e-14
8.0,7.81e+05,1.60e-04,5.98e-04,1.23e-04,2.55e-05,1.79e-03,1.00e-14
9.0,7.81e+05,1.60e-04,5.94e-04,9.09e-05,2.40e-05,1.72e-03,1.00e-14
10.0,7.81e+05,1.60e-04,5.88e-04,5.79e-05,2.27e-05,1.58e-03,1.00e-14
11.0,7.81e+05,1.60e-04,5.79e-04,3.43e-05,2.08e-05,1.30e-03,1.00e-14
12.0,7.81e+05,1.60e-04,5.66e-04,1.95e-05,1.76e-05,9.86e-04,1.00e-14
13.0,7.81e+05,1.59e-04,5.48e-04,1.08e-05,1.23e-05,7.22e-04,1.00e-14
14.0,7.81e+05,1.57e-04,5.28e-04,6.59e-06,7.32e-06,4.96e-04,1.00e-14
15.0,7.81e+05,1.55e-04,5.03e-04,4.20e-06,4.52e-06,3.35e-04,1.00e-14
16.0,7.81e+05,1.52e-04,4.77e-04,2.94e-06,2.59e-06,2.14e-04,1.00e-14
17.0,7.81e+05,1.49e-04,4.49e-04,2.30e-06,1.55e-06,1.49e-04,1.00e-14
18.0,7.81e+05,1.45e-04,4.21e-04,2.24e-06,8.63e-07,1.05e-04,1.00e-14
19.0,7.81e+05,1.41e-04,3.95e-04,2.68e-06,5.30e-07,7.96e-05,1.00e-14
20.0,7.81e+05,1.37e-04,3.69e-04,3.68e-06,3.10e-07,6.01e-05,1.00e-14
21.0,7.81e+05,1.34e-04,3.43e-04,5.62e-06,1.89e-07,4.57e-05,1.00e-14
22.0,7.81e+05,1.30e-04,3.17e-04,1.03e-05,1.04e-07,3.40e-05,1.00e-14
23.0,7.81e+05,1.25e-04,2.86e-04,1.97e-05,5.75e-08,2.60e-05,1.00e-14
24.0,7.81e+05,1.19e-04,2.48e-04,3.70e-05,2.23e-08,1.89e-05,1.00e-14
25.0,7.81e+05,1.13e-04,1.91e-04,6.20e-05,8.51e-09,1.22e-05,1.00e-14
27.5,7.81e+05,1.05e-04,1.10e-04,1.03e-04,4.09e-09,5.74e-06,1.00e-14
30.0,7.81e+05,9.73e-05,4.72e-05,1.36e-04,2.52e-09,2.14e-06,1.00e-14
32.5,7.81e+05,9.04e-05,1.79e-05,1.36e-04,1.86e-09,8.49e-07,1.00e-14
35.0,7.81e+05,8.46e-05,7.35e-06,1.13e-04,1.52e-09,3.42e-07,1.00e-14
37.5,7.81e+05,8.02e-05,3.03e-06,8.51e-05,1.32e-09,1.34e-07,1.00e-14
40.0,7.81e+05,7.63e-05,1.32e-06,6.37e-05,1.18e-09,5.39e-08,1.00e-14
42.5,7.81e+05,7.30e-05,8.69e-07,5.17e-05,1.08e-09,2.25e-08,1.00e-14
45.0,7.81e+05,7.00e-05,6.68e-07,4.44e-05,9.97e-10,1.04e-08,1.00e-14
47.5,7.81e+05,6.70e-05,5.60e-07,3.80e-05,9.34e-10,6.57e-09,1.00e-14
50.0,7.81e+05,6.43e-05,4.94e-07,3.48e-05,8.83e-10,4.74e-09,1.00e-14
55.0,7.81e+05,6.21e-05,4.56e-07,3.62e-05,8.43e-10,3.79e-09,1.00e-14
60.0,7.81e+05,6.02e-05,4.32e-07,5.25e-05,8.10e-10,3.28e-09,1.00e-14
65.0,7.81e+05,5.88e-05,4.17e-07,1.26e-04,7.83e-10,2.98e-09,1.00e-14
70.0,7.81e+05,5.75e-05,4.05e-07,3.77e-04,7.60e-10,2.79e-09,1.00e-14
75.0,7.81e+05,5.62e-05,3.96e-07,1.12e-03,7.40e-10,2.66e-09,1.00e-14
80.0,7.81e+05,5.50e-05,3.89e-07,2.00e-03,7.23e-10,2.56e-09,1.00e-14
85.0,7.81e+05,5.37e-05,3.83e-07,1.68e-03,7.07e-10,2.49e-09,1.00e-14
90.0,7.80e+05,5.25e-05,3.78e-07,4.31e-04,6.94e-10,2.43e-09,1.00e-14
95.0,7.79e+05,5.12e-05,3.73e-07,4.98e-05,6.81e-10,2.37e-09,1.00e-14
100.0,7.77e+05,5.00e-05,3.69e-07,6.76e-06,6.70e-10,2.33e-09,1.00e-14
105.0,7.74e+05,4.87e-05,3.66e-07,8.38e-07,6.59e-10,2.29e-09,1.00e-14
110.0,7.70e+05,4.75e-05,3.62e-07,9.56e-08,6.49e-10,2.25e-09,1.00e-14
115.0,7.65e+05,4.62e-05,3.59e-07,1.00e-08,6.40e-10,2.22e-09,1.00e-14
120.0,7.60e+05,4.50e-05,3.56e-07,1.00e-09,6.32e-10,2.19e-09,1.00e-14
